"number";"title";"id";"year"
"1";" Numerical recipes in Fortran 77: the art of scientific computing";"13380592258577037246";"1992"
"2";" Numerical recipes 3rd edition: The art of scientific computing";"9526883588545811444";"2007"
"3";" Monte Carlo strategies in scientific computing";"15723223843293506872";"2008"
"4";"IPython: a system for interactive scientific computing";"9869903761521342638";"2007"
"5";"Python for scientific computing";"9033267342875292363";"2007"
"6";" Numerical recipes in Pascal: the art of scientific computing";"4862185389086026636";"1989"
"7";" Numerical analysis: mathematics of scientific computing";"9230670776758726457";"2002"
"8";" Scientific computing";"11772247331700845618";"2002"
"9";" Numerical Recipes in C: The Art of Scientific Computing (  Cambridge";"2971482962940605847";"1992"
"10";"Performance analysis of cloud computing services for many-tasks scientific computing";"1880096372427611035";"2011"
"11";" Numerical recipes in C: the art of scientiﬁc computing";"10026495308870792767";""
"12";"A performance analysis of EC2 cloud computing services for scientific computing";"4338441922084701914";"2009"
"13";"Toward a common component architecture for high-performance scientific computing";"13074918477395021089";"1999"
"14";" Verification and validation in scientific computing";"14477505245915798440";"2010"
"15";"Some scheduling techniques and an easily schedulable horizontal architecture for high performance scientific computing";"8185713064051074714";"1981"
"16";"Investigating the limits of SOAP performance for scientific computing";"9755163033732773964";"2002"
"17";"The potential of the cell processor for scientific computing";"6142919569001742773";"2006"
"18";"A generic grid interface for parallel and adaptive scientific computing. Part II: implementation and tests in DUNE";"8677596292445006023";"2008"
"19";"Scientific computing on vector computers";"3817307391517407054";"1987"
"20";" Visualization in scientific computing";"8686860776330027905";"1988"
"21";" Solving problems in scientific computing using Maple and Matlab®";"12643051909401138814";"2011"
"22";"A component architecture for high-performance scientific computing";"264247676447888176";"2006"
"23";" Introduction to scientific computing: a matrix-vector approach using MATLAB";"11508520726828054678";"1999"
"24";" WT Vetterling Numerical Recipes-The Art of Scientific Computing";"10093811099636276682";""
"25";" Numerical recipes: example book (FORTRAN)";"15940771847897881216";"1992"
"26";"Numerical recipes in C: the art of scientific computing";"9021000508082380521";"1989"
"27";"A comprehensive framework for verification, validation, and uncertainty quantification in scientific computing";"258172100913180257";"2011"
"28";" Best practices for scientific computing";"13145098272845001519";"2014"
"29";" Modern software tools for scientific computing";"7899672606567268479";"1997"
"30";" Scientific computing and differential equations: an introduction to numerical methods";"11561721403146700408";"2014"
"31";" Scientific computing: an introduction with parallel computing";"3731518132154042856";"2014"
"32";"Numerical Recipes in C: The art of scientific computing";"17000857484254944998";"1989"
"33";" C-XSC: A C++ class library for extended scientific computing";"13051958545943810543";"2012"
"34";" Scientific computing with ordinary differential equations";"7660296896537757148";"2012"
"35";" Numerical recipesthe art of scientific computing";"14264723515593242806";""
"36";" Numerical Recipes: The Art of Scientific Computing, ch. 12-13";"18287937549311177166";"2007"
"37";"CUDA: Scalable parallel programming for high-performance scientific computing";"1425110402843259618";"2008"
"38";"A generic grid interface for parallel and adaptive scientific computing. Part I: abstract framework";"7134805561791210482";"2008"
"39";"On the energy efficiency of graphics processing units for scientific computing";"17259075030092097271";"2009"
"40";"Parallel hypergraph partitioning for scientific computing";"10003284302419248131";"2006"
"41";" ODEPACK, a systematized collection of ODE solvers";"2664892809337475330";"1983"
"42";" Parallel scientific computing in C++ and MPI: a seamless approach to parallel algorithms and their implementation";"15844643371952022282";"2003"
"43";" Numerical recipes in C: The Art of Scientific Computing, vol. 1";"13826893498870471698";"1992"
"44";"File system workload analysis for large scale scientific computing applications";"13592914484873421291";"2004"
"45";" An introduction to Bayesian scientific computing: ten lectures on subjective computing";"3648870181924018779";"2007"
"46";" Numerical Recipes: The Art of Scientific Computing (New York";"6258861308419814661";""
"47";"C-XSC 2.0–a C++ library for eXtended Scientific Computing";"17012261168980716230";"2004"
"48";"Theory of inexact Krylov subspace methods and applications to scientific computing";"3082127472647260379";"2003"
"49";"Scientific computing in the cloud";"1632619957182571136";"2010"
"50";"Intelligence in scientific computing";"13105298180409621272";"1989"
