"number";"title";"id";"year"
"1";"OpenMOLE, a workflow engine specifically tailored for the distributed exploration of simulation models";"11665166017377686868";"2013"
"2";"Declarative task delegation in OpenMOLE";"9352724239543915462";"2010"
"3";"Half a billion simulations: Evolutionary algorithms and distributed computing for calibrating the SimpopLocal geographical model";"5750425554346314152";"2015"
"4";"Tutorials";"1365636722280893252";"2015"
"5";" A new method to evaluate simulation models: the calibration profile (CP) algorithm";"15726759740229850049";"2015"
"6";"Exploring Complex Models in NetLogo";"13870310663596611031";"2017"
"7";"Hybrid modeling of a bike-sharing transportation system";"2708762895647414578";"2015"
"8";"Models of growth for system of cities: Back to the simple";"7937597142706929524";"2016"
"9";" Beyond corroboration: Strengthening model validation by looking for unexpected patterns";"1699663051565167789";"2015"
"10";"An applied knowledge framework to study complex systems";"7409264294851661954";"2017"
"11";"Modeling the co-evolution of cities and networks";"9373770629042102363";"2018"
"12";"NetLogo, an Open Simulation Environment";"5936595480937951871";"2017"
"13";"SOF: Zero Configuration Simulation Optimization Framework on the Cloud";"3300020818438124785";"2016"
"14";" Building Scientific Workflows on the Grid: A Comparison between OpenMole and Taverna";"907410134065770359";""
"15";"Distributed simulation optimization and parameter exploration framework for the cloud";"5678532831255814298";"2017"
"16";"Agent-based Modeling of Migrant Workers Residential Dynamics within a Mega-city Region: the Case of the Pearl River Delta, China";"5601018099200819035";"2017"
"17";"Towards a Theory of Co-evolutive Networked Territorial Systems: Insights from Transportation Governance Modeling in Pearl River Delta, China";"16057638674660007541";"2016"
"18";"Agent-Based Model Exploration";"16189080031202024733";"2015"
"19";" Reproducible Large-Scale Neuroimaging Studies with the OpenMOLE Workflow Management System";"18248814012294141264";"2017"
"20";"Modeling the Co-evolution of Urban Form and Transportation Networks";"17378843593632400053";"2017"
"21";"Calibration of a Density-based Model of Urban Morphogenesis";"15848250065112202064";"2017"
"22";"Game-based tools to transmit freshwater ecology concepts";"9811718448683958405";"2016"
"23";"An Urban Morphogenesis Model Capturing Interactions between Networks and Territories";"1733317322551838105";"2018"
"24";"Indirect evidence of network effects in a system of cities";"11667984635425546006";"2018"
"25";" Facilitating parameter estimation and sensitivity analysis of agent-based models: A cookbook using NetLogo and R";"18435805537433182424";"2014"
"26";"EPIS: a grid platform to ease and optimize multi-agent simulators running";"11041966961482471336";"2011"
"27";"OpenMOLE: a Workflow Engine for Distributed Medical Image Analysis";"7502488252604575971";"2014"
"28";"A new agent-based model to manage construction project risks–application to the crossroad of Bab El Karmadine at Tlemcen";"16245586406391535787";"2016"
"29";"Large-scale social simulation, dealing with complexity challenges in high performance environments";"17041386231876381264";"2014"
"30";"Indirect bibliometrics by complex network analysis";"15680610807007527494";"2016"
"31";" Growing models from the bottom up. An evaluation-based incremental modelling method (EBIMM) applied to the simulation of systems of cities";"15445287396704063108";"2015"
"32";"Stochastic buildings generation to assist in the design of right to build plans";"8645338169281738539";"2017"
"33";"A grid-based multistage algorithm for parameter simulation-optimization of complex system";"4273235028552532196";"2013"
"34";" Urban dynamics and simulation models";"71342397976593946";"2017"
"35";" mtk: A General-Purpose and Extensible R Environment for Uncertainty and Sensitivity Analyses of Numerical Experiments.";"8226912631937378055";"2015"
"36";"Using parallel computing to improve the scalability of models with BDI agents";"1162534567459567696";"2017"
"37";"Questions of uncertainty in geography";"8227652364381073175";"2017"
"38";"Intelligent software: the OpenMol program";"1526305999368062499";"1994"
"39";"The GR3D model, a tool to explore the Global Repositioning Dynamics of Diadromous fish Distribution";"8331795383076944624";"2014"
"40";" Geography far from equilibrium";"1685448238254009102";"2017"
"41";"Modelling and analysis of complex food systems: state of the art and new trends";"6029544249413325397";"2011"
