"number";"title";"id";"year"
"1";"Evaluating the ε-domination based multi-objective evolutionary algorithm for a quick computation of Pareto-optimal solutions";"10031087337215432326";"2005"
"2";" Handbook of evolutionary computation";"14264335267739024498";"1997"
"3";"Introduction to evolutionary computation";"737032261563072827";"2000"
"4";"Comparison of multiobjective evolutionary algorithms: Empirical results";"14608635368191644787";"2000"
"5";" Evolutionary computation: the fossil record";"9239552893787123358";"1998"
