"number";"title";"id";"year"
"1";" Reliable distributed computing with the Isis toolkit";"2493290193414728444";"1994"
"2";"Distributed computing in practice: the Condor experience";"4398715046210677938";"2005"
"3";"Self-stabilization of dynamic systems assuming only read/write atomicity";"3759452537983975528";"1993"
"4";"Distributed computing";"15530502666830130077";"2000"
"5";"PVM: A framework for parallel distributed computing";"17012751749085551893";"1990"
"6";"A comparison of eleven static heuristics for mapping a class of independent tasks onto heterogeneous distributed computing systems";"13609914418493082467";"2001"
"7";"Cloud computing: Distributed internet computing for IT and scientific research";"16271757900746272421";"2009"
"8";"Matchmaking: Distributed resource management for high throughput computing";"9111807486171522034";"1998"
"9";"The heard-of model: computing in distributed systems with benign faults";"1429749090663434454";"2009"
"10";"A taxonomy of scheduling in general-purpose distributed computing systems";"5923345849705757531";"1988"
"11";"Hundreds of impossibility results for distributed computing";"9099975709457784051";"2003"
"12";"A taxonomy and survey of grid resource management systems for distributed computing";"11870491332776542130";"2002"
"13";"The process group approach to reliable distributed computing";"16995310501469550379";"1993"
"14";" Distributed computing: fundamentals, simulations, and advanced topics";"16887412193443025531";"2004"
"15";"Logical time in distributed computing systems";"14635568282392624509";"1991"
"16";"U-Net: A user-level network interface for parallel and distributed computing";"11365769301695967128";"1995"
"17";"Appraising fairness in languages for distributed programming";"594991079143664973";"1988"
"18";"Elections in a distributed computing system";"2874312379721954269";"1982"
"19";"Grids and Grid technologies for wide‐area distributed computing";"2621491579307896335";"2002"
"20";"SETI@ HOME—massively distributed computing for SETI";"13665805084498487824";"2001"
"21";"A note on distributed computing";"11353807827406225954";"1996"
"22";"Grapevine: An exercise in distributed computing";"3538700675537411813";"1982"
"23";"A task allocation model for distributed computing systems";"8075785738843111791";"1982"
"24";" The Grid 2: Blueprint for a new computing infrastructure";"13782588520514473021";"2003"
"25";"Constant-time distributed dominating set approximation";"13684895408084246785";"2005"
"26";"Quincy: fair scheduling for distributed computing clusters";"2925779590981218808";"2009"
"27";"Distributed computing services platform";"16173510210152292919";"2006"
"28";"A graph matching approach to optimal task assignment in distributed computing systems using a minimax criterion";"6709310061650311608";"1985"
"29";"Programming languages for distributed computing systems";"5032555845230266705";"1989"
"30";" Parallel and distributed computing handbook";"3054201826300902406";"1996"
"31";"Stabilization and pseudo-stabilization";"10562420992927795864";"1993"
"32";"System for monitoring and managing computer resources and applications across a distributed computing environment using an intelligent autonomous agent …";"9299164518881813039";"1997"
"33";"A grid-enabled MPI: Message passing in heterogeneous distributed computing systems";"2048424058125292695";"1998"
"34";"Reaching agreement on processor-group membrship in synchronous distributed systems";"1673483549886324381";"1991"
"35";"Nested Transactions: An Approach to Reliable Distributed Computing.";"10644836202772789222";"1981"
"36";"System including a proxy client to backup files in a distributed computing environment";"6480484368477476032";"2000"
"37";"Some simple distributed algorithms for sparse networks";"3440480491267994001";"2001"
"38";"Partitioning problems in parallel, pipeline, and distributed computing";"10033818771473797989";"1988"
"39";"Atomistic protein folding simulations on the submillisecond time scale using worldwide distributed computing";"17027955503207575566";"2003"
"40";"Impossibility of distributed consensus with one faulty process";"11672152277902934813";"1985"
"41";"Envirotrack: Towards an environmental computing paradigm for distributed sensor networks";"3879508144992380377";"2004"
"42";"Intrusion tolerance in distributed computing systems";"9387364346344819752";"1991"
"43";"Fundamentals of fault-tolerant distributed computing in asynchronous environments";"6034444401721152740";"1999"
"44";"Simulation of folding of a small alpha-helical protein in atomistic detail using worldwide-distributed computing";"11158526387120679333";"2002"
"45";"Reliable array of distributed computing nodes";"13146818970090465733";"2000"
"46";"Distributed computing economics";"1745945856345094369";"2008"
"47";"Optimal task assignment in heterogeneous distributed computing systems";"16247334673283094568";"1998"
"48";"Folding@ Home and Genome@ Home: Using distributed computing to tackle previously intractable problems in computational biology";"4320260012045958866";"2009"
"49";"Detecting causal relationships in distributed computations: In search of the holy grail";"7427823926802599434";"1994"
"50";"Direct data retrieval in a distributed computing system";"15663984028319462485";"2001"
