"number";"title";"id";"year"
"1";"Graph partitioning models for parallel computing";"14025854050761394982";"2000"
"2";"jModelTest 2: more models, new heuristics and parallel computing";"5093715402258106165";"2012"
"3";" Parallel computing: theory and practice";"922163278678978176";"1994"
"4";"Highly parallel computing";"5691513344697345916";"1988"
"5";" Introduction to parallel computing: design and analysis of algorithms";"8472381968125954168";"1994"
"6";"TREE-PUZZLE: maximum likelihood phylogenetic analysis using quartets and parallel computing";"13611476148810714309";"2002"
"7";" High performance compilers for parallel computing";"8476262622168177528";"1996"
"8";" PVM: Parallel virtual machine: a users' guide and tutorial for networked parallel computing";"7325477516605945713";"1994"
"9";"The PVM concurrent computing system: Evolution, experiences, and trends";"5793908232900482717";"1994"
"10";"Parallel algorithms for hierarchical clustering";"14986755616194608313";"1995"
"11";"New advances in chemistry and materials science with CPMD and parallel computing";"12332377764516127613";"2000"
"12";"Bringing skeletons out of the closet: a pragmatic manifesto for skeletal parallel programming";"8168067625250980368";"2004"
"13";"High performance computing using MPI and OpenMP on multi-core parallel systems";"9089857118549482842";"2011"
"14";"The parallel genetic algorithm as function optimizer";"15965472294997762083";"1991"
"15";" The landscape of parallel computing research: A view from berkeley";"15446826255925976162";"2006"
"16";" Knowledge frontiers: public sector research and industrial innovation in biotechnology, engineering ceramics and parallel computing";"1601405700885475708";"1995"
"17";"Efficient parallel computing in distributed workstation environments";"810113516097046114";"1993"
"18";" Scalable parallel computing: technology, architecture, programming";"8075119307524142547";"1998"
"19";"A dynamic model and parallel tabu search heuristic for real-time ambulance relocation";"10572736861060244355";"2001"
"20";"A class of parallel tiled linear algebra algorithms for multicore architectures";"9447035692040043315";"2009"
"21";" Introduction to parallel computing";"6234486233257882624";"2003"
"22";"Monitors, messages, and clusters: The p4 parallel programming system";"2741628883442653167";"1994"
"23";"Massively parallel computing using commodity components";"1976363347256952537";"2000"
"24";"Hybrid scheduling for the parallel solution of linear systems";"6466783364571694539";"2006"
"25";"Parallel recombinative simulated annealing: a genetic algorithm";"16679031156524858795";"1995"
"26";"Data management and transfer in high-performance computational grid environments";"7946251587802956438";"2002"
"27";"A high-performance, portable implementation of the MPI message passing interface standard";"12057140765855931724";"1996"
"28";" DryadLINQ: A System for General-Purpose Distributed Data-Parallel Computing Using a High-Level Language.";"3662601067977846800";"2008"
"29";"PT-Scotch: A tool for efficient parallel graph ordering";"14145792090833434296";"2008"
"30";"DAGuE: A generic distributed DAG engine for high performance computing";"12320224745413131987";"2012"
"31";"Sub optimal scheduling in a grid using genetic algorithms";"13703998868099139140";"2004"
"32";"The ganglia distributed monitoring system: design, implementation, and experience";"11632828611644045130";"2004"
"33";"A view of the parallel computing landscape";"11255509559611247245";"2009"
"34";"ClustalW-MPI: ClustalW analysis using distributed and parallel computing";"7905361750931694825";"2003"
"35";" Sourcebook of parallel computing";"9783760726897683918";"2003"
"36";"PRIRODA-04: a quantum-chemical program suite. New possibilities in the study of molecular systems with the application of parallel computing";"7754709821072146031";"2005"
"37";"Parallel tabu search heuristics for the dynamic multi-vehicle dial-a-ride problem";"13498864484450746242";"2004"
"38";"The communication challenge for MPP: Intel Paragon and Meiko CS-2";"4724018074885313763";"1994"
"39";" IVY: A Shared Virtual Memory System for Parallel Computing.";"2299017183106408699";"1988"
"40";"Parallel computing experiences with CUDA";"3087932887502093666";"2008"
"41";"Parallel implementation of the TRANSIMS micro-simulation";"3975949999532885001";"2001"
"42";"A parallel tabu search algorithm for solving the container loading problem";"7878652742857343100";"2003"
"43";"The Galley parallel file system";"8391540198088751534";"1997"
"44";"Achieving efficient cloud search services: multi-keyword ranked search over encrypted cloud data supporting parallel computing";"993890652702145325";"2015"
"45";"The programming model of ASSIST, an environment for parallel and distributed portable applications";"17792670498008873593";"2002"
"46";"Swift: A language for distributed parallel scripting";"13831634492694981131";"2011"
"47";"Warp: an integrated solution of high-speed parallel computing";"17322680149032751941";"1988"
"48";"Toward a better parallel performance metric";"3533704588878401717";"1991"
"49";" Vector models for data-parallel computing";"16558356255562966818";"1990"
"50";"GPUs and the future of parallel computing";"17946135235768020071";"2011"
