"number";"title";"id";"year"
"1";"Compiler transformations for high-performance computing";"16248226340654014323";"1994"
"2";"High performance computing";"3596855301464947356";"1998"
"3";"A large-scale study of failures in high-performance computing systems";"3842206365961431573";"2010"
"4";" High performance computing";"10773280870610152841";"1998"
"5";"GPU cluster for high performance computing";"6535036744130835558";"2004"
"6";"Performance analysis of high performance computing applications on the amazon web services cloud";"12139582102983489105";"2010"
"7";"A power-aware run-time system for high-performance computing";"17164888225709215306";"2005"
"8";" High performance compilers for parallel computing";"8476262622168177528";"1996"
"9";"A case for high performance computing with virtual machines";"5727230737830851656";"2006"
"10";"Energy-efficient thermal-aware task scheduling for homogeneous high-performance computing data centers: A cyber-physical approach";"10147642513297666313";"2008"
"11";"A high-performance computing toolset for relatedness and principal component analysis of SNP data";"8385895509160925950";"2012"
"12";"Optical interconnects for high-performance computing";"9524433527950390696";"2012"
"13";"Performance evaluation of container-based virtualization for high performance computing environments";"10923333840681982605";"2013"
"14";"Phylogenetic models of rate heterogeneity: a high performance computing perspective";"3918645617462384581";"2006"
"15";"DAGuE: A generic distributed DAG engine for high performance computing";"12320224745413131987";"2012"
"16";"Virtualization for high-performance computing";"1063796308362389142";"2006"
"17";" High performance cluster computing";"17700231664354509199";"1999"
"18";"BEAGLE: an application programming interface and high-performance computing library for statistical phylogenetics";"4566621794479292489";"2011"
"19";"GPU clusters for high-performance computing";"14004453548033815551";"2009"
"20";"Analysis of virtualization technologies for high performance computing environments";"11445508777594100780";"2011"
"21";"Delta-I noise specification for a high-performance computing machine";"17777042390170146765";"1985"
"22";" Introduction to high performance computing for scientists and engineers";"8429516660510754808";"2010"
"23";"vCUDA: GPU-accelerated high-performance computing in virtual machines";"460899059798807434";"2012"
"24";" High performance computing in remote sensing";"2117926452470549713";"2007"
"25";"Disk system architectures for high performance computing";"4547202643286638838";"1989"
"26";"A GPGPU transparent virtualization component for high performance computing clouds";"9217948106133094037";"2010"
"27";"Performance evaluation of Intel® transactional synchronization extensions for high-performance computing";"441794717481093627";"2013"
"28";"Potentials of two-photon based 3-D optical memories for high performance computing";"13025830506741724607";"1990"
"29";"What's next in high-performance computing?";"11849678144466468601";"2002"
"30";"Scalable I/O forwarding framework for high-performance computing systems";"12426038677248210015";"2009"
"31";"Detection and correction of silent data corruption for large-scale high-performance computing";"10470939431511075192";"2012"
"32";"Algorithm-based fault tolerance applied to high performance computing";"3405952251900699188";"2009"
"33";" High‐dimensional posterior exploration of hydrologic models using multiple‐try DREAM (ZS) and high‐performance computing";"4307747115622736145";"2012"
"34";" A survey of memory bandwidth and machine balance in current high performance computers";"13649744612297641918";"1995"
"35";" Toward a new metric for ranking high performance computing systems";"18374335496614572582";"2013"
"36";"Reducing electricity cost through virtual machine placement in high performance computing clouds";"1161645947243764127";"2011"
"37";"High performance computing in biology: multimillion atom simulations of nanoscale systems";"10006707105584461705";"2007"
"38";"On the feasibility of optical circuit switching for high performance computing systems";"15356664502306029741";"2005"
"39";"Toward a common component architecture for high-performance scientific computing";"13074918477395021089";"1999"
"40";" Open source high performance computing";"12446842799124228816";""
"41";"Flow simulation and high performance computing";"7839598312770154525";"1996"
"42";" Case frame compilation from the web using high-performance computing";"8391695801654902896";"2006"
"43";"A scalable high-performance computing solution for networks on chips";"9540192585438201024";"2002"
"44";"Analyzing the energy-time trade-off in high-performance computing applications";"9332629735602131849";"2007"
"45";"Recent developments in high performance computing for remote sensing: A review";"6675839599784023576";"2011"
"46";"High performance computing using MPI and OpenMP on multi-core parallel systems";"9089857118549482842";"2011"
"47";"Understanding the high-performance-computing community: A software engineer's perspective";"5573714039110996297";"2008"
"48";"Recommendations for virtualization technologies in high performance computing";"11405844422794523384";"2010"
"49";"High performance computing for hyperspectral remote sensing";"6761554768674465475";"2011"
"50";"A quantitative analysis of high performance computing with Amazon's EC2 infrastructure: The death of the local cluster?";"10024391500510912961";"2009"
