"number";"title";"id";"year"
"1";"StepNP: A system-level exploration platform for network processors";"12357634446030221666";"2002"
"2";"The leaky integrate-and-fire neuron: A platform for synaptic model exploration on the spinnaker chip";"6470367441528924549";"2010"
"3";"IF-2.0: A validation environment for component-based real-time systems";"14912171786886830328";"2002"
"4";"Transaction level modeling: an overview";"13001039500897241928";"2003"
"5";"Carbonate apron models: alternatives to the submarine fan model for paleoenvironmental analysis and hydrocarbon exploration";"14203432722091071200";"1986"
"6";"Ice model testing of an exploration platform for shallow waters in the North Caspian Sea";"12720444048158956257";"2001"
"7";"Using simulation to design extremescale applications and architectures: programming model exploration";"12881696059470997062";"2011"
"8";"Extending the transaction level modeling approach for fast communication architecture exploration";"17633808501911281120";"2004"
"9";"ORION 2.0: A fast and accurate NoC power and area model for early-stage design space exploration";"13432918967794416029";"2009"
"10";"ReSP: a nonintrusive transaction-level reflective MPSoC simulation platform for design space exploration";"15984318185837566427";"2009"
"11";"The IF toolset";"12852271742413504654";"2004"
"12";"Constraint-based design-space exploration and model synthesis";"10101532204032888997";"2003"
"13";"System level processor/communication co-exploration methodology for multiprocessor system-on-chip platforms";"17559637304275745239";"2005"
"14";"OpenMOLE, a workflow engine specifically tailored for the distributed exploration of simulation models";"11665166017377686868";"2013"
"15";"Model-driven design-space exploration for embedded systems: The octopus toolset";"10025736129103929596";"2010"
"16";" DisGeNET: a discovery platform for the dynamical exploration of human diseases and their genes";"10856601804496883511";"2015"
"17";"A modular simulation framework for architectural exploration of on-chip interconnection networks";"9955903357945483736";"2003"
"18";" Ice Model Testing of an Exploration Platform for Shallow Waters in the Caspian Sea";"13977676188869446064";""
"19";"Location and sizing of offshore platforms for oil exploration";"12829351694862874843";"1992"
"20";"An FPGA platform for on-line topology exploration of spiking neural networks";"12897324050160964626";"2005"
"21";"Reducing endogenous tau ameliorates amyloid ß-induced deficits in an Alzheimer's disease mouse model";"8701264615964448440";"2007"
"22";"Model driven engineering for MPSOC design space exploration";"4538135435550594245";"2007"
"23";"Model-based design exploration of wireless sensor node lifetimes";"18427278516159945638";"2007"
"24";"System-level exploration for pareto-optimal configurations in parameterized systems-on-a-chip";"13012087907479468316";"2001"
"25";"A system level exploration platform and methodology for network applications based on configurable processors";"17169055373915449725";"2004"
"26";"A framework for rapid system-level exploration, synthesis, and programming of multimedia MP-SoCs";"12889483828216239050";"2007"
"27";"Automatic performance model construction for the fast software exploration of new hardware designs";"7349888237863145289";"2006"
"28";"An integrated adoption model of mobile cloud services: exploration of key determinants and extension of technology acceptance model";"5993742715069932273";"2014"
"29";"Mars exploration rover mobility development";"868257293837263958";"2006"
"30";"Mixed signal design space exploration through analog platforms";"7956049619114273928";"2005"
"31";"Combined system synthesis and communication architecture exploration for MPSoCs";"3245285734959690168";"2009"
"32";"Model driven early exploration of IMA execution platform";"8367858242810505910";"2011"
"33";"Aβ peptide immunization reduces behavioural impairment and plaques in a model of Alzheimer's disease";"15938648451868766949";"2000"
"34";"Facies models in exploration—the carbonate platforms of north-east Australia";"8935641995682692712";"1988"
"35";"Noc-centric system exploration platform and parallel application communication mechanism description format used by the same";"3842118913665010140";"2011"
"36";"Functional model exploration for multimedia applications via algebraic operators";"12084026163672974194";"2006"
"37";" A product platform concept exploration method for product family design";"12499995311728065429";"1999"
"38";"Mars Exploration Rover mobility assembly design, test and performance";"11912302670537332482";"2005"
"39";"Flexible MPSoC platform with fast interconnect exploration for optimal system performance for a specific application";"15114479966682007408";"2006"
"40";"Multi-objective design space exploration of embedded system platforms";"16664302585190641898";"2006"
"41";"Coexistence of critical and normal state magnetostrictions in type II superconductors: A model exploration";"15800296908257352053";"2007"
"42";" A platform for rapid exploration of aging and diseases in a naturally short-lived vertebrate";"14282882350871318483";"2015"
"43";" EPIC-Explorer: A Parameterized VLIW-based Platform Framework for Design Space Exploration.";"9595285122291597012";"2003"
"44";"Using abstract CPU subsystem simulation model for high level HW/SW architecture exploration";"7549428000562133322";"2005"
"45";"Model-based exploration of the design space for heterogeneous systems on chip";"11732280114894273887";"2002"
"46";" Fisheries ecosystem model of the Chesapeake Bay: methodology, parameterization, and model exploration";"4401389487164804787";"2009"
"47";"A GA-based design space exploration framework for parameterized system-on-a-chip platforms";"16853611218680108449";"2004"
"48";"TLM modelling of 3D stacked wide I/O DRAM subsystems: a virtual platform for memory controller design space exploration";"6956480785157557001";"2013"
"49";"Design space exploration of automotive platforms in metropolis";"2617641298406327255";"2006"
"50";"ProViz: protein interaction visualization and exploration";"16646164700131455389";"2004"
