"number";"title";"id";"year"
"1";"OpenMOLE, a workflow engine specifically tailored for the distributed exploration of simulation models";"11665166017377686868";"2013"
"2";"Half a billion simulations: Evolutionary algorithms and distributed computing for calibrating the SimpopLocal geographical model";"5750425554346314152";"2015"
"3";"Simanalyzer: Automated description of groups dynamics in agent-based simulations";"8401919398052820585";"2012"
"4";" Beyond corroboration: Strengthening model validation by looking for unexpected patterns";"1699663051565167789";"2015"
"5";"Exploring Complex Models in NetLogo";"13870310663596611031";"2017"
"6";"Towards a Theory of Co-evolutive Networked Territorial Systems: Insights from Transportation Governance Modeling in Pearl River Delta, China";"16057638674660007541";"2016"
"7";" The complex system science for optimal strategy of management of a food system: the camembert cheese ripening";"12829055590934484431";""
"8";"The complex system science for optimal strategy of management of a food system: the camembert cheese ripening";"7812175105402305066";"2011"
"9";"An applied knowledge framework to study complex systems";"7409264294851661954";"2017"
"10";"Developmental design of synthetic bacterial architectures by morphogenetic engineering";"8159008038217381857";"2016"
"11";" Growing models from the bottom up. An evaluation-based incremental modelling method (EBIMM) applied to the simulation of systems of cities";"15445287396704063108";"2015"
"12";"Modelling and analysis of complex food systems: state of the art and new trends";"6029544249413325397";"2011"
"13";" A new method to evaluate simulation models: the calibration profile (CP) algorithm";"15726759740229850049";"2015"
"14";" ENDOGENIZATION OF NETWORK TOPOLOGY IN METAMIMETIC GAMES";"13574692177148500530";"2012"
"15";" Facilitating parameter estimation and sensitivity analysis of agent-based models: A cookbook using NetLogo and R";"18435805537433182424";"2014"
"16";"An incremental method for building and evaluating agent-based models of systems of cities";"12956353589593082618";"2014"
"17";" Assessing the Resilience of Socio-Ecosystems: Coupling Viability Theory and Active Learning with kd-Trees. Application to Bilingual Societies.";"2117350795954499488";"2013"
"18";"Large-scale social simulation, dealing with complexity challenges in high performance environments";"17041386231876381264";"2014"
"19";"Stochastic buildings generation to assist in the design of right to build plans";"8645338169281738539";"2017"
"20";"Indirect evidence of network effects in a system of cities";"11667984635425546006";"2018"
"21";"Automated observation of multi-agent based simulations: a statistical analysis approach";"17875050658888571303";"2013"
"22";" A workflow to process 3D+ time microscopy images of developing organisms and reconstruct their cell lineage";"3401557356897008067";"2016"
"23";"Un Cadre de Connaissances pour une Géographie Intégrée";"5085997308769200468";"2017"
"24";"A new agent-based model to manage construction project risks–application to the crossroad of Bab El Karmadine at Tlemcen";"16245586406391535787";"2016"
"25";"Calibrating with Multiple Criteria: A Demonstration of Dominance.";"370200192616113530";"2017"
"26";"Distributed simulation optimization and parameter exploration framework for the cloud";"5678532831255814298";"2017"
"27";" An application of artificial intelligence to quantitative problem solving in engineering";"14050767729756165108";"1996"
"28";"Algorithmes évolutionnaires sur grille de calcul pour le calibrage de modéles géographiques";"6879403270247345183";"2012"
"29";" Max-Planck-Institut für Astrophysik. Jahresbericht für 1993.";"8662123461567310404";"1994"
"30";"Questions of uncertainty in geography";"8227652364381073175";"2017"
"31";"R marries NetLogo: introduction to the RNetLogo package";"6832650841167464972";"2014"
"32";"Identification of causalities in spatio-temporal data";"7600160264293043119";"2017"
"33";" Max-Planck-Institut für Astrophysik. Jahresbericht für 1992.";"2665805365422033737";"1993"
"34";" Urban dynamics and simulation models";"71342397976593946";"2017"
"35";" Un modelo socio-ecológico para establecer escenarios de dinámica de bofedales frente a los cambios globales";"8285623550801585891";"2014"
"36";"De la singularité en géographie";"12539903486707291352";"2017"
"37";"The mountain environment, a driver for adaptation to climate change";"4529871448692008708";"2015"
"38";"XML-based data model and architecture for a knowledge-based grid-enabled problem-solving environment for high-throughput biological imaging";"18404317892902961650";"2008"
"39";"Description automatique de dynamiques de groupes dans des simulations à base d'agents";"6908877218994970840";"2014"
"40";"A QSAR study of avian oral toxicity using support vector machines and genetic algorithms";"11890263253955531746";"2006"
"41";"Towards vulnerability minimization of grassland soil organic matter using metamodels";"12852671943115656971";"2014"
"42";" Mammals of North America";"10868688460101201032";"2004"
"43";"Online input data reduction in scientific workflows";"7690876371925366735";"2016"
"44";" Toward complex models of complex systems";"8217832953306375285";"2016"
"45";"Data reduction in scientific workflows using provenance monitoring and user steering";"1867186822319577156";"2017"
