"number";"title";"id";"year"
"1";"OpenMOLE, a workflow engine specifically tailored for the distributed exploration of simulation models";"11665166017377686868";"2013"
"2";" Growing models from the bottom up. An evaluation-based incremental modelling method (EBIMM) applied to the simulation of systems of cities";"15445287396704063108";"2015"
"3";" A new method to evaluate simulation models: the calibration profile (CP) algorithm";"15726759740229850049";"2015"
"4";" Beyond corroboration: Strengthening model validation by looking for unexpected patterns";"1699663051565167789";"2015"
"5";"Half a billion simulations: Evolutionary algorithms and distributed computing for calibrating the SimpopLocal geographical model";"5750425554346314152";"2015"
"6";"Tutorials";"1365636722280893252";"2015"
"7";" Facilitating parameter estimation and sensitivity analysis of agent-based models: A cookbook using NetLogo and R";"18435805537433182424";"2014"
"8";" Ecosystem climate change vulnerability assessment framework";"8674311399151039303";"2012"
"9";"An incremental method for building and evaluating agent-based models of systems of cities";"12956353589593082618";"2014"
"10";"Intelligent software: the OpenMol program";"1526305999368062499";"1994"
"11";" Reproducible Large-Scale Neuroimaging Studies with the OpenMOLE Workflow Management System";"18248814012294141264";"2017"
"12";"Agent-based Modeling of Migrant Workers Residential Dynamics within a Mega-city Region: the Case of the Pearl River Delta, China";"5601018099200819035";"2017"
"13";"Exploring Complex Models in NetLogo";"13870310663596611031";"2017"
"14";" Urban dynamics and simulation models";"71342397976593946";"2017"
"15";"Modeling the co-evolution of cities and networks";"9373770629042102363";"2018"
"16";"A novel three-dimensional collaborative online platform for bio-molecular modeling";"2474815062046602967";"2010"
"17";"A new agent-based model to manage construction project risks–application to the crossroad of Bab El Karmadine at Tlemcen";"16245586406391535787";"2016"
"18";"Models of growth for system of cities: Back to the simple";"7937597142706929524";"2016"
"19";"Modelling and analysis of complex food systems: state of the art and new trends";"6029544249413325397";"2011"
"20";"Stochastic buildings generation to assist in the design of right to build plans";"8645338169281738539";"2017"
"21";"Steady-state soil organic matter approximation model: application to the Pasture Simulation Model";"12429991350323419154";"2012"
"22";" High Performance Computing";"5938934037256783432";"2010"
"23";"SOF: Zero Configuration Simulation Optimization Framework on the Cloud";"3300020818438124785";"2016"
"24";"Towards a Theory of Co-evolutive Networked Territorial Systems: Insights from Transportation Governance Modeling in Pearl River Delta, China";"16057638674660007541";"2016"
"25";" The complex system science for optimal strategy of management of a food system: the camembert cheese ripening";"12829055590934484431";""
"26";"An applied knowledge framework to study complex systems";"7409264294851661954";"2017"
"27";"Simanalyzer: Automated description of groups dynamics in agent-based simulations";"8401919398052820585";"2012"
"28";"A grid-based multistage algorithm for parameter simulation-optimization of complex system";"4273235028552532196";"2013"
"29";"The complex system science for optimal strategy of management of a food system: the camembert cheese ripening";"7812175105402305066";"2011"
"30";"Towards vulnerability minimization of grassland soil organic matter using metamodels";"12852671943115656971";"2014"
"31";"Applying artificial intelligence in physical chemistry";"16755663712616244097";"1997"
"32";"Questions of uncertainty in geography";"8227652364381073175";"2017"
"33";" To Develop a Database Management Tool for Multi-Agent Simulation Platform";"498487976027162127";"2015"
"34";"Efficacy analysis of a SDN-enhanced resource management system through NAS parallel benchmarks";"4143098091699698049";"2014"
"35";"Data-centric iteration in dynamic workflows";"12939673326353368649";"2015"
"36";"Movements networks in epidemiological models: integration, analysis and application to commuting movements in France";"4999054829773939398";"2013"
"37";"The mountain environment, a driver for adaptation to climate change";"4529871448692008708";"2015"
"38";" mtk: A General-Purpose and Extensible R Environment for Uncertainty and Sensitivity Analyses of Numerical Experiments.";"8226912631937378055";"2015"
"39";"Distributed simulation optimization and parameter exploration framework for the cloud";"5678532831255814298";"2017"
"40";"Optimal viable path search for a cheese ripening process using a multi-objective EA.";"6692114317104736749";"2010"
"41";"Symmetric Group Approach to the Many-Electron Problem";"14128112639505659712";"2001"
