"number";"title";"id";"year"
"1";" The Grid 2: Blueprint for a new computing infrastructure";"13782588520514473021";"2003"
"2";"Cloud computing and grid computing 360-degree compared";"11059172793408319527";"2008"
"3";"Pegasus: Mapping scientific workflows onto the grid";"3916211765604196483";"2004"
"4";" Grid computing: making the global infrastructure a reality";"7242699132984827694";"2003"
"5";"Gridsim: A toolkit for the modeling and simulation of distributed resource management and scheduling for grid computing";"10141487525724023446";"2002"
"6";"A taxonomy of workflow management systems for grid computing";"10536470094197216392";"2005"
"7";"On death, taxes, and the convergence of peer-to-peer and grid computing";"16839790602071693348";"2003"
"8";"Economic models for resource management and scheduling in grid computing";"2170446225020809763";"2002"
"9";"A taxonomy of scientific workflow systems for grid computing";"17719752453135264889";"2005"
"10";"Grid characteristics and uses: a grid definition";"14170619579670079592";"2004"
"11";"Overview of GridRPC: A remote procedure call API for grid computing";"2489244143769672244";"2002"
"12";"A computational economy for grid computing and its implementation in the Nimrod-G resource broker";"1148478477661416231";"2002"
"13";"Gridflow: Workflow management for grid computing";"5031427993831886264";"2003"
"14";"A case for grid computing on virtual machines";"5968547110370367347";"2003"
"15";"VOMS, an authorization system for virtual organizations";"1854182467523317517";"2004"
"16";"Economic-based distributed resource management and scheduling for grid computing";"9833394139652222638";"2002"
"17";"Evaluation of job-scheduling strategies for grid computing";"8776995388949446596";"2000"
"18";"Evolving and managing trust in grid computing systems";"10585228768579653212";"2002"
"19";" A Case for Economy Grid Architecture for Service-Oriented Grid Computing.";"14001428557285714533";""
"20";"Intrusion detection for grid and cloud computing";"13934509993817279283";"2010"
"21";"Sun grid engine: Towards creating a compute power grid";"15656592930437905379";"2001"
"22";"Vmplants: Providing and managing virtual machine execution environments for grid computing";"5491133352313117654";"2004"
"23";" Scheduling algorithms for grid computing: State of the art and open problems";"10313818562533951877";"2006"
"24";"Ninf-G: A reference implementation of RPC-based programming middleware for Grid computing";"11866501838705505719";"2003"
"25";"Workflow scheduling algorithms for grid computing";"16437191114565030733";"2008"
"26";"UNICORE: A Grid computing environment";"4952161259306250603";"2001"
"27";"Towards trust-aware resource management in grid computing systems";"114962730176692071";"2002"
"28";"Boinc: A system for public-resource computing and storage";"14948666419597756543";"2004"
"29";"On advantages of grid computing for parallel job scheduling";"14132175484852341018";"2002"
"30";"Job scheduling and resource management techniques in economic grid environments";"13083324175673410016";"2004"
"31";"The gridbus toolkit for service oriented grid and utility computing: An overview and status report";"602333086150170049";"2004"
"32";"An evaluation of amazon's grid computing services: EC2, S3, and SQS";"17865692441053630280";"2007"
"33";" Grid computing";"12565547931638528726";"2004"
"34";"Market-oriented cloud computing: Vision, hype, and reality for delivering it services as computing utilities";"10325371467407929085";"2008"
"35";"Semantic matching of grid resource descriptions";"4621530739727280965";"2004"
"36";"Ant algorithm-based task scheduling in grid computing";"10936511036188087067";"2003"
"37";"ASKALON: A grid application development and computing environment";"16493537870716675967";"2005"
"38";" Genetic algorithm based schedulers for grid computing systems";"5398507143267387900";"2007"
"39";"ChinaGrid: making grid computing a reality";"329891757625436402";"2004"
"40";"Economic models for management of resources in peer-to-peer and grid computing";"10173685722520789769";"2001"
"41";"Towards virtual networks for virtual machine grid computing";"18367271412804453825";"2004"
"42";"Economic scheduling in grid computing";"17976179495373200448";"2002"
"43";"ARMS: An agent-based resource management system for grid computing";"11886299034169790169";"2002"
"44";"Efficient hierarchical parallel genetic algorithms using grid computing";"14954622467199360569";"2007"
"45";"Fault-tolerant scheduling policy for grid computing systems";"3292160336144380701";"2004"
"46";"Building an infrastructure for scientific Grid computing: status and goals of the EGEE project";"10129045055734213601";"2005"
"47";"ASKALON: a tool set for cluster and Grid computing";"17421223349403209731";"2005"
"48";" Grid Computing: A Practical Guide to Tech. and App.";"11575407549462402661";"2004"
"49";"The semantic grid: A future e‐science infrastructure";"1865224412269228078";"2003"
"50";"Mobile ogsi. net: Grid computing on mobile devices";"6895695672409784448";"2004"
