"number";"title";"id";"year"
"1";"Cognitive design elements to support the construction of a mental model during software exploration";"5951169391697950957";"1999"
"2";"Automatic performance model construction for the fast software exploration of new hardware designs";"7349888237863145289";"2006"
"3";"The Integrated Genome Browser: free software for distribution and exploration of genome-scale datasets";"9662180757992202615";"2009"
"4";"Open source software and the “private-collective” innovation model: Issues for organization science";"14349810808994983066";"2003"
"5";"Using simulation to design extremescale applications and architectures: programming model exploration";"12881696059470997062";"2011"
"6";"Capability maturity model for software";"1862522283408531974";"1993"
"7";"An exploration of the relationship between software development process maturity and project performance";"16539114896764783257";"2004"
"8";" Gephi: an open source software for exploring and manipulating networks.";"692893633449340225";"2009"
"9";"Stuart City Trend, Lower Cretaceous, South Texas: a carbonate shelf-margin model for hydrocarbon exploration";"12715060892263554389";"1974"
"10";" MetaWin: statistical software for meta-analysis";"4314553219883278502";"2000"
"11";"MEGA4: molecular evolutionary genetics analysis (MEGA) software version 4.0";"8480751610153565117";"2007"
"12";"Stereo vision and rover navigation software for planetary exploration";"13306398091830182032";"2002"
"13";"Model exploration with temporal logic query checking";"16834784091631339876";"2002"
"14";"ORION 2.0: A fast and accurate NoC power and area model for early-stage design space exploration";"13432918967794416029";"2009"
"15";"Model-integrated development of embedded software";"708376787572782437";"2003"
"16";"Bogor: an extensible and highly-modular software model checking framework";"2471707337771431322";"2003"
"17";"Dynamic partial-order reduction for model checking software";"13602199458343483910";"2005"
"18";"Temporal logic query checking: A tool for model exploration";"4390720292368232362";"2003"
"19";"Tesseract: Interactive visual exploration of socio-technical relationships in software development";"9051250874315113159";"2009"
"20";"Hardware software partitioning with integrated hardware design space exploration";"7453886620558532890";"1998"
"21";" Systems and software verification: model-checking techniques and tools";"12084227213603060839";"2013"
"22";"Software model checking";"3692251765652223781";"2009"
"23";"Constraint-based design-space exploration and model synthesis";"10101532204032888997";"2003"
"24";"A model-driven framework for guided design space exploration";"9489273458280626796";"2015"
"25";" Exploration of a plant architecture database with the AMAPmod software illustrated on an apple tree hybrid family";"2892268805037005985";"1999"
"26";"Software piracy in the workplace: A model and empirical test";"7026103934217654522";"2003"
"27";"How do “resource bundles” develop and change in new ventures? A dynamic model and longitudinal exploration";"9374648608155524345";"2001"
"28";"Information overload and the message dynamics of online interaction spaces: A theoretical model and empirical exploration";"6212336697608355010";"2004"
"29";"Developing and validating an observational learning model of computer software training and skill acquisition";"14098446755868518868";"2003"
"30";"Context-bounded model checking of concurrent software";"7048035839845318982";"2005"
"31";"The leaky integrate-and-fire neuron: A platform for synaptic model exploration on the spinnaker chip";"6470367441528924549";"2010"
"32";"Unpacking commitment and exploration: Preliminary validation of an integrative model of late adolescent identity formation";"9711616178702574655";"2006"
"33";"Design exploration through bidirectional modeling of constraints";"14402958582960235936";"2006"
"34";"A model and framework for visualization exploration";"8728103499814189074";"2007"
"35";"Modeling in Event-B – System and Software EngineeringAbrial Jean-RaymondCambridge University Press, May 2010 ISBN-10: 0521895561";"6726124012115016584";"2012"
"36";"G/sup SEE: a Generic Software Exploration Environment";"17934343764034698436";"2001"
"37";"The software model checker Blast";"840937417391242191";"2007"
"38";" MACE: Model-inference-Assisted Concolic Exploration for Protocol and Vulnerability Discovery.";"3207246872474717510";"2011"
"39";"An exploration of student internet use in India: the technology acceptance model and the theory of planned behaviour";"2625383469089448499";"2005"
"40";"Model checking large software specifications";"17354567526401751389";"1998"
"41";"Implicit ambivalence from attitude change: an exploration of the PAST model.";"2991971264094562138";"2006"
"42";"Doing research that is useful to practice a model and empirical exploration";"9078499489941581258";"2001"
"43";"Model-driven software engineering in practice";"3538478598186776278";"2012"
"44";"ESS++: a C++ objected-oriented algorithm for Bayesian stochastic search model exploration";"7142489962118085196";"2011"
"45";"Applying Jlint to space exploration software";"5930661629640283467";"2004"
"46";"Systematic development and exploration of service-oriented software architectures";"5376460113219330352";"2004"
"47";"Model-based exploration of the design space for heterogeneous systems on chip";"11732280114894273887";"2002"
"48";"Radicalization under deep uncertainty: a multi‐model exploration of activism, extremism, and terrorism";"9638966316401645085";"2014"
"49";"An overview of the Mars exploration rovers' flight software";"7251259937544869332";"2005"
"50";"Using abstract CPU subsystem simulation model for high level HW/SW architecture exploration";"7549428000562133322";"2005"
